transaction_id,user_id,date,amount,merchant,city,txn_type,payment_method
TXN0001,U063,2023-08-20,4743.29,Ola,Bangalore,CREDIT,Netbanking
TXN0002,U059,2022-11-29,2734.97,Zomato,Delhi,CREDIT,Netbanking
TXN0003,U006,2023-06-18,398.97,Ola,Chennai,CREDIT,Card
TXN0004,U046,2022-08-06,3094.41,Uber,Kolkata,CREDIT,Card
TXN0005,U015,2022-01-16,1634.05,Flipkart,Chennai,CREDIT,Netbanking
TXN0006,U030,2023-02-11,3622.56,Flipkart,Hyderabad,CREDIT,Netbanking
TXN0007,U030,2023-05-27,3275.89,Uber,Kolkata,DEBIT,Netbanking
TXN0008,U035,2023-03-19,3510.86,Uber,Chennai,CREDIT,Netbanking
TXN0009,U026,2022-11-22,3005.49,Zomato,Ahmedabad,CREDIT,Card
TXN0010,U024,2022-10-25,691.99,BigBasket,Ahmedabad,CREDIT,Card
TXN0011,U023,2022-07-24,414.63,Amazon,Chennai,DEBIT,UPI
TXN0012,U063,2022-02-10,701.18,Uber,Pune,DEBIT,UPI
TXN0013,U015,2023-07-11,2589.66,Zomato,Hyderabad,CREDIT,UPI
TXN0014,U066,2022-02-18,247.06,Flipkart,Delhi,CREDIT,UPI
TXN0015,U074,2022-01-12,1745.63,Flipkart,Hyderabad,DEBIT,Netbanking
TXN0016,U061,2023-03-15,3516.76,Myntra,Mumbai,DEBIT,UPI
TXN0017,U061,2023-06-19,1452.98,Ola,Hyderabad,CREDIT,Card
TXN0018,U052,2023-10-24,3223.86,Ola,Ahmedabad,CREDIT,Netbanking
TXN0019,U036,2023-07-25,203.66,Swiggy,Kolkata,DEBIT,Card
TXN0020,U079,2023-02-28,350.13,Swiggy,Kolkata,CREDIT,UPI
TXN0021,U071,2023-02-13,513.83,Amazon,Pune,CREDIT,Netbanking
TXN0022,U070,2023-01-30,2005.47,Myntra,Bangalore,CREDIT,Netbanking
TXN0023,U022,2023-05-10,3730.97,Swiggy,Chennai,DEBIT,Netbanking
TXN0024,U027,2022-10-23,2700.8,BigBasket,Pune,DEBIT,Netbanking
TXN0025,U045,2023-04-13,883.23,Swiggy,Pune,CREDIT,UPI
TXN0026,U053,2022-03-24,2347.97,Flipkart,Pune,DEBIT,Card
TXN0027,U044,2022-08-27,2656.96,Swiggy,Delhi,CREDIT,Card
TXN0028,U062,2023-04-11,3377.56,Flipkart,Pune,DEBIT,UPI
TXN0029,U088,2022-04-18,749.91,IRCTC,Pune,CREDIT,UPI
TXN0030,U032,2022-04-03,1306.57,Uber,Bangalore,DEBIT,Card
TXN0031,U066,2023-04-24,2665.7,Myntra,Hyderabad,DEBIT,UPI
TXN0032,U051,2022-01-23,4277.83,Flipkart,Chennai,DEBIT,Card
TXN0033,U049,2022-07-08,1086.97,Myntra,Pune,CREDIT,Netbanking
TXN0034,U074,2023-02-03,2458.86,Myntra,Ahmedabad,CREDIT,Card
TXN0035,U041,2022-10-15,125.18,BigBasket,Chennai,DEBIT,UPI
TXN0036,U060,2023-01-24,1316.84,Zomato,Mumbai,DEBIT,Card
TXN0037,U018,2023-03-24,436.09,Uber,Kolkata,CREDIT,UPI
TXN0038,U008,2022-04-10,4238.27,Myntra,Pune,CREDIT,UPI
TXN0039,U013,2022-06-23,2847.24,Ola,Bangalore,DEBIT,Card
TXN0040,U062,2022-06-26,1886.34,Uber,Pune,CREDIT,UPI
TXN0041,U012,2022-05-28,4943.22,BigBasket,Delhi,DEBIT,Card
TXN0042,U006,2023-10-12,2379.81,Uber,Chennai,DEBIT,Card
TXN0043,U020,2023-04-21,3358.3,Uber,Pune,DEBIT,Netbanking
TXN0044,U071,2022-04-13,1820.98,Flipkart,Kolkata,DEBIT,Card
TXN0045,U031,2022-07-06,1335.09,IRCTC,Kolkata,DEBIT,Card
TXN0046,U083,2022-01-11,4775.2,Uber,Hyderabad,CREDIT,UPI
TXN0047,U004,2023-11-18,4226.01,BigBasket,Bangalore,DEBIT,Card
TXN0048,U082,2023-08-18,2614.93,IRCTC,Kolkata,CREDIT,Netbanking
TXN0049,U009,2022-04-17,1658.87,Zomato,Mumbai,DEBIT,Card
TXN0050,U059,2023-02-26,490.7,Flipkart,Ahmedabad,DEBIT,Card
TXN0051,U094,2023-02-05,2832.44,Uber,Mumbai,CREDIT,Netbanking
TXN0052,U051,2022-05-29,105.8,Ola,Kolkata,CREDIT,UPI
TXN0053,U068,2022-04-01,2827.17,Swiggy,Mumbai,CREDIT,Card
TXN0054,U099,2022-10-21,4457.14,BigBasket,Kolkata,DEBIT,Netbanking
TXN0055,U077,2022-12-04,2421.08,IRCTC,Chennai,DEBIT,Card
TXN0056,U093,2023-03-06,3051.7,Swiggy,Mumbai,DEBIT,Card
TXN0057,U065,2022-10-02,604.5,Flipkart,Bangalore,CREDIT,Netbanking
TXN0058,U087,2022-01-20,1154.5,Zomato,Delhi,DEBIT,Card
TXN0059,U089,2023-01-30,3292.49,IRCTC,Hyderabad,DEBIT,Card
TXN0060,U064,2022-10-08,1337.22,Ola,Delhi,DEBIT,Card
TXN0061,U071,2022-08-15,3515.86,Amazon,Pune,CREDIT,Card
TXN0062,U073,2022-01-04,223.14,Ola,Chennai,DEBIT,UPI
TXN0063,U091,2022-01-24,838.79,Flipkart,Bangalore,DEBIT,Card
TXN0064,U061,2023-08-03,2139.53,Amazon,Mumbai,DEBIT,Card
TXN0065,U038,2022-04-06,3116.54,Swiggy,Bangalore,DEBIT,UPI
TXN0066,U064,2023-10-11,4200.7,Ola,Pune,CREDIT,UPI
TXN0067,U074,2023-04-16,895.06,Swiggy,Pune,CREDIT,Card
TXN0068,U095,2022-05-25,1256.61,Zomato,Bangalore,CREDIT,Card
TXN0069,U005,2023-12-27,577.6,Swiggy,Chennai,DEBIT,Netbanking
TXN0070,U097,2022-01-24,3985.36,Uber,Bangalore,CREDIT,Card
TXN0071,U008,2023-12-15,2557.79,BigBasket,Hyderabad,DEBIT,UPI
TXN0072,U097,2022-05-06,3387.94,IRCTC,Pune,DEBIT,Card
